Category,Consumers Count,Total Expenditures,Total Authorized Services,Per Capita Expenditures,Per Capita Authorized Services,Utilized,Regional Center,Sheet Name,Title,Age Category,Total Eligible Consumers,Consumers Receiving Purchased Services,Consumers with No Purchased Services,Percent With No Purchased Services
Black/African American,419.0,1062244.0,2437313.0,2535.18821002387,5816.97579952267,0.4358258135,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
Hispanic,1007.0,3337159.0,7098499.0,3313.96138033764,7049.15491559088,0.4701217976,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
"Native Hawaiian or Other
Pacific Islander",23.0,56077.0,114472.0,2438.13739130435,4977.02217391304,0.489878748,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
"Other Ethnicity or
Race/Multi-Cultural",1361.0,3142907.0,6784655.0,2309.26322556944,4985.05179279943,0.4632375593,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
White,1339.0,4204304.0,9111481.0,3139.8832785661,6804.69058252428,0.461429251,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
Totals Check,4635.0,13332322.0,29024289.0,19133.16359737585,42151.39488116536,3.1792493272,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
Totals,4635.0,13332322.0,29024289.0,2876.44486084141,6261.98245738963,0.4593505141,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For birth to age 2 years, inclusive",,,,
"American Indian or Alaska
Native",68.0,206171.0,415133.0,3031.92279411765,6104.90367647059,0.4966372862,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Asian,1914.0,7173721.0,15191057.0,3748.02568965521,7936.81142110767,0.4722331791,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Black/African American,1566.0,8541327.0,14972203.0,5454.23164112392,9560.79385057476,0.5704789504,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Hispanic,3180.0,10688158.0,21994420.0,3361.05591509438,6916.48416037737,0.4859486174,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"Native Hawaiian or Other
Pacific Islander",81.0,405459.0,728328.0,5005.6661728395,8991.70641975309,0.5566981326,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"Other Ethnicity or
Race/Multi-Cultural",2845.0,11270950.0,23990416.0,3961.66963093152,8432.48360632687,0.4698105346,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
White,5500.0,25180976.0,53469964.0,4578.35924363631,9721.81154909089,0.4709368435,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals Check,15154.0,63466762.0,130761521.0,29140.93108739849,57664.99468370125,3.5227435438,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals,15154.0,63466761.0,130761521.0,4188.11939949841,8628.84524943918,0.4853626735,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"American Indian or Alaska
Native",76.0,3113800.0,3974151.0,40971.0478947369,52291.4575,0.7835132133,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Asian,988.0,27147206.0,37197639.0,27476.9294838057,37649.4317004048,0.7298099398,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Black/African American,1693.0,57411501.0,76874056.0,33911.1053927939,45407.0030005908,0.7468254488,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Hispanic,1645.0,42707577.0,59188510.0,25962.0529361702,35980.8568753799,0.7215518248,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
"Native Hawaiian or Other
Pacific Islander",47.0,720333.0,1062162.0,15326.2378723404,22599.1819148936,0.6781766672,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
"Other Ethnicity or
Race/Multi-Cultural",1062.0,33290496.0,83124274.0,31346.9831355932,78271.4448116761,0.4004906669,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
White,6824.0,299944360.0,429958780.0,43954.3318390975,63006.8551699887,0.6976118983,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals Check,12335.0,464335273.0,691379572.0,218948.68855453777,335206.2309729339,4.7579796591,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals,12335.0,464335274.0,691379571.0,37643.71902878,56050.2286623432,0.671606877,Alta California,POSxEth,Ethnicity or Race: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
All other languages,1145.0,21858101.0,33059598.0,19090.0443842795,28873.011161572,0.6611726182,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Cantonese/Mandarin
Chinese",115.0,1625812.0,2172064.0,14137.4986086957,18887.5129565217,0.7485103328,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
English,28481.0,498508349.0,785651998.0,17503.1898044315,27585.1268435105,0.6345154729,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Spanish,2222.0,17203142.0,27519601.0,7742.18801980199,12385.0590639064,0.6251232214,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Vietnamese,161.0,1938954.0,2762120.0,12043.1911180124,17156.0218012422,0.7019804042,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,32124.0,541134358.0,851165381.0,70516.1119352211,104886.7318267528,3.3713020495,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,32124.0,541134358.0,851165380.0,16845.1736250171,26496.2451796186,0.6357570105,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
All other languages,137.0,473876.0,1208316.0,3458.95153284672,8819.82437956205,0.3921791845,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Cantonese/Mandarin
Chinese",,,,3485.94583333333,6682.22416666667,0.5216744824,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
English,4111.0,11293645.0,24574286.0,2747.17709316468,5977.69066163955,0.4595716387,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Spanish,365.0,1476238.0,3052040.0,4044.48764383562,8361.75273972604,0.4836889788,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Vietnamese,,,,4673.12,10946.0,0.4269249041,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,4613.0,13243759.0,28834642.0,18409.682103180352,40787.49194759431,2.2840391885,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,4635.0,13332322.0,29024289.0,2876.44486084141,6261.98245738963,0.4593505141,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,All Ages,,,,
All other languages,430.0,1995219.0,4125585.0,4640.04460465116,9594.38269767443,0.4836209635,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"Cantonese/Mandarin
Chinese",51.0,152712.0,275274.0,2994.34666666667,5397.53470588235,0.5547619107,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
English,13267.0,56904318.0,117551388.0,4289.16241426092,8860.43473204185,0.4840803577,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Spanish,1326.0,4153451.0,8350425.0,3132.31620663651,6297.45481146306,0.4973939949,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Vietnamese,80.0,261061.0,458849.0,3263.2685,5735.617625,0.5689480564,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals Check,15154.0,63466761.0,130761521.0,18319.13839221526,35885.42457206169,2.5888052832,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals,15154.0,63466761.0,130761521.0,4188.11939949841,8628.84524943918,0.4853626735,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
All other languages,578.0,19389005.0,27725697.0,33544.99183391,47968.3343944637,0.6993153349,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
"Cantonese/Mandarin
Chinese",52.0,1431269.0,1816603.0,27524.4098076923,34934.6736538462,0.7878822651,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
English,11103.0,430310386.0,643526324.0,38756.2267891564,57959.6797018825,0.668675655,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Spanish,531.0,11573452.0,16117136.0,21795.5790960452,30352.4226177025,0.7180836723,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Vietnamese,71.0,1631161.0,2193810.0,22974.0998591549,30898.7338028169,0.7435288451,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals Check,12335.0,464335273.0,691379570.0,144595.3073859588,202113.84417071182,3.6174857724000002,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals,12335.0,464335274.0,691379571.0,37643.71902878,56050.2286623432,0.671606877,Alta California,POSxLang,Language: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Autism,13341.0,134930930.0,224743162.0,10114.0042268193,16846.0506896033,0.6003783565,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Intellectual
Disability",11840.0,384853602.0,565198236.0,32504.5271807438,47736.3374603047,0.680917911,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Cerebral Palsy,2339.0,91479306.0,149713758.0,39110.4345318511,64007.5922146216,0.6110280543,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Epilepsy,2266.0,102487769.0,137899772.0,45228.4946999117,60856.033526037,0.7432047749,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Category 5,5347.0,61282561.0,96250921.0,11461.1110342247,18000.920323546,0.6366958371,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Other,4968.0,10236796.0,22418945.0,2060.54677938807,4512.67007648965,0.4566136554,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Autism,570.0,3681973.0,7572015.0,6459.60196491228,13284.2362456141,0.4862606962,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Intellectual
Disability",,,,7236.205,17514.57,0.4131534488,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Cerebral Palsy,16.0,104748.0,244321.0,6546.75375,15270.0925,0.4287304579,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Epilepsy,,,,5549.77384615385,15051.8361538462,0.3687107533,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Category 5,342.0,2314298.0,4725226.0,6766.9545614035,13816.4502046784,0.4897751927,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Other,3865.0,8292469.0,18585275.0,2145.52892884865,4808.609244502,0.4461849195,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Autism,10259.0,39984781.0,86096161.0,3897.53202553839,8392.25667316512,0.4644200216,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"Intellectual
Disability",3238.0,23843862.0,42234885.0,7363.76224212473,13043.509953675,0.5645537335,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Cerebral Palsy,647.0,6034943.0,10490166.0,9327.57740340033,16213.5486707883,0.5752952418,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Epilepsy,458.0,4303778.0,7733505.0,9396.89582969435,16885.3830567686,0.5565106695,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Category 5,3231.0,11492593.0,25200747.0,3556.97714639438,7799.67417517794,0.456041761,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Other,1049.0,1353724.0,2998373.0,1290.48977121068,2858.31536701621,0.4514861397,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Autism,2512.0,91264176.0,131074986.0,36331.2803423567,52179.532794586,0.6962745428,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
"Intellectual
Disability",8600.0,360995267.0,522928321.0,41976.1938686048,60805.618739535,0.6903341293,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Cerebral Palsy,1676.0,85339616.0,138979271.0,50918.6251372315,82923.1925536993,0.6140456436,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Epilepsy,1795.0,98111844.0,129970593.0,54658.4087130919,72407.0154094707,0.7548772506,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Category 5,1774.0,47475669.0,66324948.0,26761.9329650507,37387.2309695603,0.7158040933,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Other,54.0,590603.0,835297.0,10937.0985185185,15468.4701851852,0.7070575427,Alta California,POSxDx,Diagnosis-Legislative: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Autism,13341.0,134930930.0,224743162.0,10114.0042268194,16846.0506896033,0.6003783565,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Category 5,2793.0,36480978.0,55831248.0,13061.5744790547,19989.7057536698,0.6534150447,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Cerebral Palsy,889.0,31775600.0,67662461.0,35743.0817885265,76110.7552305963,0.4696193288,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Epilepsy,315.0,8324268.0,11223469.0,26426.2475555556,35630.0607936508,0.7416840434,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Intellectual
Disability",9818.0,319385786.0,469286094.0,32530.6361305768,47798.5429048689,0.6805779874,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Other,4968.0,10236796.0,22418945.0,2060.54677938809,4512.67007648954,0.4566136554,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,112311.0,2111589666.0,3243384263.0,551536.8014273951,878956.9326367493,17.210643243199996,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,32124.0,541134358.0,851165380.0,16845.1736250171,26496.2451796186,0.6357570105,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Autism,570.0,3681973.0,7572015.0,6459.60196491228,13284.236245614,0.4862606962,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Category 5,176.0,1200654.0,2495115.0,6821.89653409091,14176.7879545455,0.481201846,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Cerebral Palsy,15.0,94642.0,225628.0,6309.45333333334,15041.8466666667,0.419460022,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Epilepsy,,,,6873.07142857143,15889.6828571429,0.4325493146,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Intellectual
Disability",,,,7236.205,17514.57,0.4131534488,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Other,3865.0,8292469.0,18585275.0,2145.52892884865,4808.60924450194,0.4461849195,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,4626.0,13269738.0,28878033.0,35845.757189756616,80715.73296847104,2.6788102471,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,4635.0,13332322.0,29024289.0,2876.44486084141,6261.98245738963,0.4593505141,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Autism,10259.0,39984781.0,86096161.0,3897.53202553849,8392.25667316494,0.4644200216,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Category 5,1341.0,4745855.0,10716928.0,3539.04146159585,7991.7432736764,0.4428372309,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Cerebral Palsy,289.0,2458641.0,4153958.0,8507.40951557094,14373.558650519,0.5918791388,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Epilepsy,91.0,516782.0,1100449.0,5678.92164835165,12092.849010989,0.4696099028,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
"Intellectual
Disability",2125.0,14406979.0,25695651.0,6779.75470117652,12092.0712658823,0.5606776996,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Other,1049.0,1353724.0,2998373.0,1290.48977121068,2858.31536701621,0.4514861397,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals Check,15154.0,63466762.0,130761520.0,29693.14912344413,57800.79424124786,2.9809101334,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Totals,15154.0,63466761.0,130761521.0,4188.11939949841,8628.84524943918,0.4853626735,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,"For age 3 years to 21 years, inclusive",,,,
Autism,2512.0,91264176.0,131074986.0,36331.2803423567,52179.532794586,0.6962745428,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Category 5,1276.0,30534469.0,42619206.0,23929.8347413793,33400.6314733542,0.7164485726,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Cerebral Palsy,585.0,29222317.0,63282875.0,49952.6778803419,108175.855128205,0.4617728958,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Epilepsy,217.0,7759375.0,10011792.0,35757.4866820276,46137.2908294931,0.7750235447,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
"Intellectual
Disability",7691.0,304964334.0,443555414.0,39652.1043271357,57672.0080171631,0.687545062,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Other,54.0,590603.0,835297.0,10937.0985185185,15468.4701851852,0.7070575427,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals Check,12335.0,464335274.0,691379570.0,196560.4824917597,313033.78842798655,4.0441221606,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Totals,12335.0,464335274.0,691379571.0,37643.71902878,56050.2286623432,0.671606877,Alta California,POSxDx-Sum,Diagnosis-Summary: Total Annual Expenditures and Authorized Services ,For age 22 years and older,,,,
Acute General Hospital,,,,4343.96,18210.9,0.2385362613,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
CCF,1733.0,212784782.0,259244621.0,122784.063421812,149592.972567802,0.8207876434,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Correctional Institution,35.0,480751.0,731242.0,13735.7565714286,20892.6371428571,0.6574448442,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Community Treatment
Facility",,,,75669.9442857143,89312.5228571429,0.8472489844,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Developmental Center/State
Hospital",15.0,165859.0,236403.0,11057.252,15760.17,0.7015947163,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Family Home, Adults",151.0,9121884.0,11981163.0,60409.8273509934,79345.4485430464,0.7613521438,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Foster Home, Children",247.0,1151000.0,2300216.0,4659.91834008097,9312.61647773279,0.500387657,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Hospice,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
ICF Facility,225.0,6520001.0,10321984.0,28977.7827555556,45875.4859555556,0.6316615977,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
"Independent Living or
Supported Living",3255.0,151006176.0,264890042.0,46392.0662826423,81379.4291244242,0.5700711689,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Out-of-state,,,,33330.8675,50365.5,0.6617797401,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Other,67.0,3643143.0,4354084.0,54375.2755223881,64986.3211940299,0.8367187821,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Home of Parent or Guardian,26185.0,151954387.0,291458122.0,5803.10816154276,11130.7283524919,0.5213592478,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Psychiatric Treatment Facility,,,,120072.471111111,131464.204444444,0.9133472615,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Rehabilitation Center,,,,6473.21,17184.9,0.3766801087,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Skilled Nursing Facility (SNF),95.0,1403076.0,2005262.0,14769.2183157895,21108.0171578947,0.6996970964,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Sub-Acute,,,,119505.17,135945.31,0.879067987,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Transient/Homeless,87.0,427441.0,763136.0,4913.1132183908,8771.67333333333,0.5601112846,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals Check,32095.0,538658500.0,848286275.0,727273.0048374494,950638.8371507549,11.177846525199998,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
Totals,32124.0,541134358.0,851165380.0,16845.1736250171,26496.2451796186,0.6357570105,Alta California,POSxRes,Residence: Total Annual Expenditures and Authorized Services ,All Ages,,,,
